Device,Samples,Ops_Per_Cyc
Zedboard Arm(CPU),64,0.005702575
Zedboard Arm(CPU),128,0.010898255
Zedboard Arm(CPU),256,0.020819779
Zedboard Arm(CPU),512,0.03838081
Zedboard Arm(CPU),1024,0.071046971
DE0-Nano(FPGA),64,0.130156984
DE0-Nano(FPGA),128,0.237817699
DE0-Nano(FPGA),256,0.453252557
DE0-Nano(FPGA),512,0.579345373
DE0-Nano(FPGA),1024,1.048339247
